Provincia,Capital,Poblacion,Superficie_km2,Densidad_hab_km2
CABA,,3075646,205.9,14937.6
Buenos Aires,La Plata,17541141,305907.4,57.3
Catamarca,San Fernando del Valle de Catamarca,415438,101486.1,4.1
Chaco,Resistencia,1204541,99763.3,12.1
Chubut,Rawson,618994,224302.3,2.8
Córdoba,Córdoba,3760450,164707.8,22.8
Corrientes,Corrientes,1120801,89123.3,12.6
Entre Ríos,Paraná,1385961,78383.7,17.7
Formosa,Formosa,605193,75488.3,8.0
Jujuy,San Salvador de Jujuy,770881,53244.2,14.5
La Pampa,Santa Rosa,358428,143492.5,2.5
La Rioja,La Rioja,393531,91493.7,4.3
Mendoza,Mendoza,1990338,149069.2,13.4
Misiones,Posadas,1261294,29911.4,42.2
Neuquén,Neuquén,664057,94422.0,7.0
Río Negro,Viedma,747610,202168.6,3.7
Salta,Salta,1424397,155340.5,9.2
San Juan,San Juan,781217,88296.2,8.8
San Luis,San Luis,508328,75347.1,6.7
Santa Cruz,Río Gallegos,365698,244457.5,1.5
Santa Fe,Santa Fe,3536418,133249.1,26.5
Santiago del Estero,Santiago del Estero,978313,136934.3,7.1
Tierra del Fuego,Ushuaia,173715,910324.4,0.2
Tucumán,San Miguel de Tucumán,1694656,22592.1,75.0
