Mbps (Media de bajada),Fecha
0.362,2014 Q1
0.376,2014 Q2
0.387,2014 Q3
0.416,2014 Q4
0.435,2015 Q1
0.455,2015 Q2
0.479,2015 Q3
0.499,2015 Q4
0.508,2016 Q1
0.542,2016 Q2
0.594,2016 Q3
0.634,2016 Q4
0.662,2017 Q1
0.716,2017 Q2
0.834,2017 Q3
1.201,2017 Q4
1.322,2018 Q1
1.385,2018 Q2
1.536,2018 Q3
1.595,2018 Q4
1.738,2019 Q1
2.033,2019 Q2
2.418,2019 Q3
2.826,2019 Q4
3.752,2020 Q1
3.832,2020 Q2
4.067,2020 Q3
4.236,2020 Q4
4.311,2021 Q1
4.563,2021 Q2
4.846,2021 Q3
5.234,2021 Q4
5.511,2022 Q1
5.844,2022 Q2
6.246,2022 Q3
10.656,2022 Q4
